"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_LIHC"
"1","WZ-4002","44607530","HEPG2","trt_cp","down",-0.485877434164015,2.2368493602502e-05,0.000286220601914003,-1.62294495140151,0,63,33,"EGFR; ERBB2",-98.1476010399433,FALSE,FALSE
"2","BRD-K56634255",NA,"HEPG2","trt_cp","down",-0.479137812660522,2.26731228928085e-05,0.000286220601914003,-1.6004330298255,-0.961709917926358,63,33,NA,-99.9074292917356,FALSE,FALSE
"3","bromodichloromethane",NA,"HEPG2","trt_cp","down",-0.464429084319072,2.33258999434652e-05,0.000286220601914003,-1.55130241637282,-1.55130241637282,63,33,NA,-99.2082250059088,FALSE,FALSE
"4","BAS-00535043","9592990","HEPG2","trt_cp","down",-0.458520922821209,2.3543492293684e-05,0.000286220601914003,-1.53156776684846,0,63,33,NA,-97.5783896635941,FALSE,FALSE
"5","GDC-0879","11717001","HEPG2","trt_cp","down",-0.457321649609645,2.36305292337716e-05,0.000286220601914003,-1.52756191214684,-0.790538830812985,63,33,"BRAF; RAF1",-98.7266603639801,FALSE,FALSE
"6","dabrafenib","44462760","HEPG2","trt_cp","down",-0.440626380529631,2.43268247544721e-05,0.000286220601914003,-1.47179578521748,0,63,33,"BRAF; LIMK1; NEK11; RAF1; SIK1; SIK1B",-98.1781296777751,TRUE,FALSE
"7","BRD-K60738705",NA,"HEPG2","trt_cp","down",-0.438727464398092,2.44138616945596e-05,0.000286220601914003,-1.46545295854533,-0.721882130829193,63,33,NA,-98.4066020641298,FALSE,FALSE
"8","PD-198306","9956637","HEPG2","trt_cp","down",-0.436237367953686,2.45444171046909e-05,0.000286220601914003,-1.45713545053036,-0.858105593190815,63,33,"MAP2K1; MAP2K2; MAPK3",-96.2902781060427,FALSE,FALSE
"9","voapaxar",NA,"HEPG2","trt_cp","down",-0.434188929761237,2.46314540447785e-05,0.000286220601914003,-1.45029318499396,-1.10955605099998,63,33,NA,-96.1583156070275,FALSE,FALSE
"10","BRD-K79333016",NA,"HEPG2","trt_cp","down",-0.432470458151778,2.47184909848661e-05,0.000286220601914003,-1.44455308548204,0,63,33,NA,-98.6252265027968,FALSE,FALSE
"11","AZD-7762","67077825","HEPG2","trt_cp","down",-0.431748314414862,2.47184909848661e-05,0.000286220601914003,-1.44214095548874,-0.993786141654643,63,33,"CHEK1; CHEK2",-98.0432127944536,FALSE,FALSE
"12","BRD-K02781692",NA,"HEPG2","trt_cp","down",-0.424529524815617,2.50231202751725e-05,0.000286220601914003,-1.41802849973026,1.02340964554414,63,33,NA,-97.6492948869456,FALSE,FALSE
"13","SAR-245409","49867926","HEPG2","trt_cp","down",-0.424330104235013,2.50666387452163e-05,0.000286220601914003,-1.41736238806971,0,63,33,NA,-98.684314188923,FALSE,FALSE
"14","BRD-K68906258",NA,"HEPG2","trt_cp","down",-0.422465489227009,2.51536756853038e-05,0.000286220601914003,-1.41113413522081,0,63,33,NA,-95.8421964862523,FALSE,FALSE
"15","SA-1919584","54666568","HEPG2","trt_cp","down",-0.420052390845141,2.52407126253914e-05,0.000286220601914003,-1.40307381885146,0,63,33,NA,-96.7866146695029,FALSE,FALSE
